권역,시도,세부 지역(시·군·구),이름,업종,등급,객실수,전화번호,주소,홈페이지 URL,예약/프로모션 페이지
수도권,서울특별시,강서구,메이필드 호텔 서울,관광호텔업,5성,239,02-2660-9000,서울특별시 강서구 방화대로 94 (외발산동),https://www.mayfield.co.kr,https://www.mayfield.co.kr
수도권,서울특별시,광진구,"그랜드 워커힐 서울 (구, 쉐라톤 그랜드 워커힐 서울)",관광호텔업,5성,539,02-455-5000,서울특별시 광진구 워커힐로 177 워커힐호텔 (광장동),https://www.walkerhill.com/,https://www.walkerhill.com/
수도권,서울특별시,광진구,"비스타 워커힐 서울 (구, W 서울 워커힐)",관광호텔업,5성,244,02-455-5000,서울특별시 광진구 워커힐로 177 워커힐호텔 (광장동),http://walkerhill.co.kr,http://walkerhill.co.kr
수도권,서울특별시,마포구,호텔 나루 서울 엠갤러리,관광호텔업,5성,196,02-6410-1000,서울특별시 마포구 마포대로 8 호탤나루엠갤러리 (마포동),http://www.hotelnaruseoul.com,http://www.hotelnaruseoul.com
수도권,서울특별시,서초구,JW 메리어트 호텔 서울,관광호텔업,5성,379,02-6282-6262,서울특별시 서초구 신반포로 176 (반포동),http://www.marriott.co.kr,http://www.marriott.co.kr
수도권,서울특별시,송파구,롯데호텔월드,관광호텔업,5성,477,02-419-7000,서울특별시 송파구 올림픽로 240 (잠실동),https://www.lottehotel.com/world-hotel/ko.html,https://www.lottehotel.com/world-hotel/ko.html
수도권,서울특별시,송파구,소피텔 앰배서더 서울 호텔 & 서비스드 레지던스,관광호텔업,5성,403,02-2902-6000,서울특별시 송파구 잠실로 209 (신천동),http://www.sofitel-seoul.com,http://www.sofitel-seoul.com
수도권,서울특별시,송파구,소피텔 앰배서더 서울 호텔 & 서비스드 레지던스,가족호텔업,5성,160,02-2092-6000,서울특별시 송파구 잠실로 209 (신천동),http://www.sofitel-seoul.com,http://www.sofitel-seoul.com
수도권,서울특별시,송파구,시그니엘서울,관광호텔업,5성,235,02-3213-1000,서울특별시 송파구 올림픽로 300 (신천동),http://www.lottehotel.com/seoul-signiel/ko.html,http://www.lottehotel.com/seoul-signiel/ko.html
수도권,서울특별시,영등포구,메리어트 이그제큐티브 아파트먼트 서울,가족호텔업,5성,103,02-2090-8000,서울특별시 영등포구 여의대로 8 (여의도동),http://www.marriott.com/seler,http://www.marriott.com/seler
수도권,서울특별시,영등포구,콘래드 서울 호텔,관광호텔업,5성,434,02-6137-7000,서울특별시 영등포구 국제금융로 10 (여의도동),https://www.conradseoul.co.kr/,https://www.conradseoul.co.kr/
수도권,서울특별시,영등포구,페어몬트 앰배서더 서울,관광호텔업,5성,308,02-3395-6000,서울특별시 영등포구 여의대로 108 제호텔호 (여의도동),http://www.fairmont.co.kr/seoul,http://www.fairmont.co.kr/seoul
수도권,서울특별시,용산구,그랜드 머큐어 앰배서더 서울 용산,가족호텔업,5성,201,02-2223-7000,서울특별시 용산구 청파로20길 95 서울드래곤시티 (한강로3가),http://www.sdc-club.com,http://www.sdc-club.com
수도권,서울특별시,용산구,그랜드 하얏트 서울,관광호텔업,5성,615,02-797-1234,서울특별시 용산구 소월로 322 (한남동),https://www.hyatt.com/ko-kr/hotel/south-korea/grand-hyatt-seoul/selrs,https://www.hyatt.com/ko-kr/hotel/south-korea/grand-hyatt-seoul/selrs
수도권,서울특별시,용산구,노보텔 스위트 앰배서더 서울 용산,가족호텔업,5성,264,02-2223-7000,서울특별시 용산구 청파로20길 95 서울드래곤시티 (한강로3가),http://www.seouldragoncity.com,http://www.seouldragoncity.com
수도권,서울특별시,용산구,노보텔 앰배서더 서울 용산,관광호텔업,5성,621,02-2223-7000,서울특별시 용산구 청파로20길 95 (한강로3가),https://www.seouldragoncity.com/ko/,https://www.seouldragoncity.com/ko/
수도권,서울특별시,용산구,몬드리안 서울 이태원,관광호텔업,5성,295,02-2076-2000,서울특별시 용산구 장문로 23 (이태원동),https://all.accor.com/hotel/b771/index.ko.shtml,https://all.accor.com/hotel/b771/index.ko.shtml
수도권,서울특별시,종로구,JW메리어트 동대문 스퀘어 서울,관광호텔업,5성,170,02-2276-3000,서울특별시 종로구 청계천로 279 (종로6가),http://www.jwmarriottddm.com,http://www.jwmarriottddm.com
수도권,서울특별시,종로구,포시즌스 호텔 서울,관광호텔업,5성,317,02-6388-5000,서울특별시 종로구 새문안로 97 (당주동),https://www.fourseasons.com/seoul/,https://www.fourseasons.com/seoul/
수도권,서울특별시,중구,(주)호텔신라,관광호텔업,5성,464,02-2233-3131,서울특별시 중구 동호로 249 (장충동2가),https://www.shilla.net/seoul/index.do,https://www.shilla.net/seoul/index.do
수도권,서울특별시,중구,노보텔 앰배서더 서울 동대문,관광호텔업,5성,331,02-3425-8000,서울특별시 중구 을지로 238 (을지로6가),http://ambatel.com/novotel/dongdaemun/ko/main.do,http://ambatel.com/novotel/dongdaemun/ko/main.do
수도권,서울특별시,중구,노보텔 앰배서더 서울 동대문 호텔&레지던스,가족호텔업,5성,192,02-3425-8000,서울특별시 중구 을지로 238 (을지로6가),https://www.ambatel.com/novotel/dongdaemun/ko/main.do,https://www.ambatel.com/novotel/dongdaemun/ko/main.do
수도권,서울특별시,중구,더 플라자 호텔 서울,관광호텔업,5성,306,02-771-2200,서울특별시 중구 소공로 119 (태평로2가),https://www.hoteltheplaza.com/kr/,https://www.hoteltheplaza.com/kr/
수도권,서울특별시,중구,르메르디앙 서울 명동,관광호텔업,5성,200,02-2184-7000,서울특별시 중구 명동8나길 38 (충무로1가),,
수도권,서울특별시,중구,반얀트리 클럽 앤 스파 서울,가족호텔업,5성,50,02-2250-8080,서울특별시 중구 장충단로 60 (장충동2가),https://www.banyantreeclub.com/kr/offers/event.asp,https://www.banyantreeclub.com/kr/offers/event.asp
수도권,서울특별시,중구,앰배서더 서울풀만호텔,관광호텔업,5성,0,02-2270-3107,서울특별시 중구 동호로 287 앰배서더풀만호텔 (장충동2가),https://www.ambatel.com/theambassador/seoul/ko/main.do,https://www.ambatel.com/theambassador/seoul/ko/main.do
수도권,서울특별시,중구,웨스틴 조선 서울,관광호텔업,5성,462,02-771-0500,서울특별시 중구 소공로 106 (소공동),https://josunhotel.com/hotel/westinseoul.do,https://josunhotel.com/hotel/westinseoul.do
수도권,서울특별시,중구,호텔 롯데,관광호텔업,5성,1015,02-771-1000,서울특별시 중구 을지로 30 소공동 (소공동),https://www.lottehotel.com/global/ko.html,https://www.lottehotel.com/global/ko.html
수도권,인천광역시,연수구,경원재 앰배서더 인천,한국전통호텔업,5성,30,032-729-1101,인천광역시 연수구 테크노파크로 200 (송도동),http://www.gyeongwonjae.co.kr/,http://www.gyeongwonjae.co.kr/
수도권,인천광역시,연수구,쉐라톤 그랜드 인천 호텔,관광호텔업,5성,321,032-835-1000,인천광역시 연수구 컨벤시아대로 153 (송도동),https://www.marriott.co.kr/hotels/travel/selgi-sheraton-grand-incheon-hotel/?msclkid=40b5c793bbc511ec8b3107606d9372c9,https://www.marriott.co.kr/hotels/travel/selgi-sheraton-grand-incheon-hotel/?msclkid=40b5c793bbc511ec8b3107606d9372c9
수도권,인천광역시,연수구,오크우드 프리미어 인천 호텔,가족호텔업,5성,423,032-726-2000,인천광역시 연수구 컨벤시아대로 165 (송도동),https://oakwoodpremier.co.kr/,https://oakwoodpremier.co.kr/
수도권,인천광역시,중구,그랜드 하얏트 인천,관광호텔업,5성,523,032-745-1234,인천광역시 중구 영종해안남로321번길 208 (운서동),https://www.hyatt.com/grand-hyatt/en-US/inche-grand-hyatt-incheon,https://www.hyatt.com/grand-hyatt/en-US/inche-grand-hyatt-incheon
수도권,인천광역시,중구,그랜드하얏트인천 웨스트타워,관광호텔업,5성,501,032-745-1234,인천광역시 중구 영종해안남로321번길 190 (운서동),https://www.hyatt.com/grand-hyatt/en-US/inche-grand-hyatt-incheon,https://www.hyatt.com/grand-hyatt/en-US/inche-grand-hyatt-incheon
수도권,인천광역시,중구,네스트 호텔,관광호텔업,5성,370,032-743-9000,인천광역시 중구 영종해안남로 19-5 네스트 호텔 (운서동),https://www.nesthotel.co.kr,https://www.nesthotel.co.kr
수도권,인천광역시,중구,인스파이어 엔터테인먼트 리조트,관광호텔업,5성,1275,032-580-9000,인천광역시 중구 공항문화로 127 (운서동),https://www.inspirekorea.com/,https://www.inspirekorea.com/
수도권,인천광역시,중구,파라다이스시티,관광호텔업,5성,769,032-729-2000,인천광역시 중구 영종해안남로321번길 186 (운서동),https://www.p-city.com/,https://www.p-city.com/
수도권,경기도,광명시,테이크호텔,관광호텔업,4성,228,02-2000-7100,경기도 광명시 신기로 22 (일직동),http://www.take-hotel.com/,http://www.take-hotel.com/
수도권,경기도,군포시,AC호텔 바이 메리어트 서울금정,관광호텔업,4성,191,031-460-0900,경기도 군포시 군포로 697 (금정동),https://www.marriott.com/en-us/hotels/selga-ac-hotel-seoul-geumjeong/overview/,https://www.marriott.com/en-us/hotels/selga-ac-hotel-seoul-geumjeong/overview/
수도권,경기도,성남시,(주)조선호텔앤리조트 그래비티서울판교,관광호텔업,4성,306,031-539-4800,경기도 성남시 분당구 판교역로146번길 2 그래비티타워 (백현동),https://www.marriott.com/en-us/hotels/selay-gravity-seoul-pangyo-autograph-collection/overview/,https://www.marriott.com/en-us/hotels/selay-gravity-seoul-pangyo-autograph-collection/overview/
수도권,경기도,성남시,나인트리 바이 파르나스 서울 판교,관광호텔업,4성,315,031-5178-5099,경기도 성남시 수정구 창업로 18 (시흥동),https://nol.yanolja.com/stay/domestic/1000113873,https://nol.yanolja.com/stay/domestic/1000113873
수도권,경기도,성남시,밀리토피아 호텔,관광호텔업,4성,176,031-727-9300,경기도 성남시 수정구 위례대로 83 밀리토피아시티 (창곡동),http://www.militopiahotel.com/,http://www.militopiahotel.com/
수도권,경기도,성남시,코트야드 바이 메리어트 서울 판교,관광호텔업,4성,282,031-8060-2000,경기도 성남시 분당구 판교역로192번길 12 8층동 (삼평동),http://www.marriott.co.kr/hotels/travel/selpn-courtyard-seoul-pangyo,http://www.marriott.co.kr/hotels/travel/selpn-courtyard-seoul-pangyo
수도권,경기도,수원시,노보텔 앰배서더 수원,관광호텔업,4성,287,031-547-6600,경기도 수원시 팔달구 덕영대로 902 (매산로1가),http://www.ambatel.com/novotel/suwon,http://www.ambatel.com/novotel/suwon
수도권,경기도,수원시,라마다프라자호텔수원,관광호텔업,4성,287,031-230-0001,경기도 수원시 팔달구 중부대로 150 (인계동),http://www.ramadaplazasuwon.com,http://www.ramadaplazasuwon.com
수도권,경기도,수원시,코트야드 메리어트 수원,관광호텔업,4성,288,031-267-5601,경기도 수원시 영통구 광교호수공원로 320 (하동),https://www.marriott.com/ko/hotels/selcw-courtyard-suwon/overview/,https://www.marriott.com/ko/hotels/selcw-courtyard-suwon/overview/
수도권,경기도,수원시,포포인츠 바이 쉐라톤 수원,관광호텔업,4성,221,031-784-9300,경기도 수원시 팔달구 효원로307번길 27 (인계동),https://www.marriott.com/ko/hotels/selfo-four-points-suwon/overview/,https://www.marriott.com/ko/hotels/selfo-four-points-suwon/overview/
수도권,경기도,안산시,호텔스퀘어 안산,관광호텔업,4성,203,031-490-2000,경기도 안산시 단원구 동산로 81 (원시동),http://www.hotelsquare.co.kr/,http://www.hotelsquare.co.kr/
수도권,경기도,양평군,블룸비스타호텔앤컨퍼런스,관광호텔업,4성,290,031-770-8888,경기도 양평군 강하면 강남로 316,https://www.bloomvista.co.kr/,https://www.bloomvista.co.kr/
수도권,경기도,여주시,썬밸리 호텔,관광호텔업,4성,202,031-880-3800,경기도 여주시 강변유원지길 45 (연양동),https://www.sunvalley.co.kr/hotel/hotel/intro,https://www.sunvalley.co.kr/hotel/hotel/intro
수도권,경기도,화성시,라비돌 호텔 앤 리조트,관광호텔업,4성,241,031-352-7150,경기도 화성시 정남면 세자로 286 주식회사 라비돌,https://www.laviedor.com/,https://www.laviedor.com/
수도권,경기도,화성시,롤링힐스 호텔,관광호텔업,4성,228,031-268-1000,경기도 화성시 남양읍 시청로 290,http://www.rollinghills.co.kr,http://www.rollinghills.co.kr
수도권,경기도,화성시,호텔 푸르미르,관광호텔업,4성,239,031-8020-0000,경기도 화성시 효행로 480 (주)클라루스 호텔 푸르미르 (안녕동),http://www.hotelprumie.com,http://www.hotelprumie.com
수도권,서울특별시,강남구,(주)호텔롯데 L7강남,관광호텔업,4성,333,02-2011-1000,서울특별시 강남구 테헤란로 415 (삼성동),https://www.lottehotel.com/gangnam-l7/ko.html,https://www.lottehotel.com/gangnam-l7/ko.html
수도권,서울특별시,강남구,AC 호텔 바이 메리어트 서울 강남,관광호텔업,4성,274,02-2050-6000,서울특별시 강남구 테헤란로25길 10 (역삼동),http://www.marriott.co.kr/hotels/travel/selag-ac-hotel-seoul-gangnam,http://www.marriott.co.kr/hotels/travel/selag-ac-hotel-seoul-gangnam
수도권,서울특별시,강남구,보코서울강남,가족호텔업,4성,151,02-542-0112,서울특별시 강남구 도산대로 144 (논현동),https://www.vocohotels.com/seoulgangnam,https://www.vocohotels.com/seoulgangnam
수도권,서울특별시,강남구,신라스테이 삼성,관광호텔업,4성,309,02-2175-9182,서울특별시 강남구 영동대로 506 신라스테이 삼성 (삼성동),,
수도권,서울특별시,강남구,아난티 앳 강남,관광호텔업,4성,118,02-2190-4000,서울특별시 강남구 논현로 734 (논현동),https://ananti.kr/ko/ganm,https://ananti.kr/ko/ganm
수도권,서울특별시,강남구,엘리에나 호텔,관광호텔업,4성,51,02-3440-9200,서울특별시 강남구 논현로 645 엘리에나호텔 (논현동),,
수도권,서울특별시,강남구,포포인츠 바이 쉐라톤 서울 강남,관광호텔업,4성,199,02-2160-8900,서울특별시 강남구 도산대로 203 (신사동),http://www.marriott.com/travel/selfg,http://www.marriott.com/travel/selfg
수도권,서울특별시,강남구,호텔 리베라 서울,관광호텔업,4성,319,02-541-3111,서울특별시 강남구 영동대로 737 (청담동),,
수도권,서울특별시,강남구,호텔 삼정,관광호텔업,4성,160,02-557-1221,서울특별시 강남구 봉은사로 150 (역삼동),https://samjunghotel.co.kr/,https://samjunghotel.co.kr/
수도권,서울특별시,강남구,호텔 인 나인,관광호텔업,4성,152,02-311-9000,서울특별시 강남구 영동대로 618 호텔인나인 (삼성동),http://www.hotelin9.com,http://www.hotelin9.com
수도권,서울특별시,강서구,코트야드 메리어트 서울 보타닉파크,관광호텔업,4성,261,02-6946-7000,서울특별시 강서구 마곡중앙12로 10 메리어트 호텔 (마곡동),https://www.marriott.com/ko/hotels/selcs-courtyard-seoul-botanic-park/overview/,https://www.marriott.com/ko/hotels/selcs-courtyard-seoul-botanic-park/overview/
수도권,서울특별시,광진구,더 클래식 500 펜타즈,관광호텔업,4성,84,02-2218-5000,서울특별시 광진구 능동로 90 (자양동),http://www.theclassic500.com,http://www.theclassic500.com
수도권,서울특별시,구로구,포포인츠 바이 쉐라톤 서울 구로,관광호텔업,4성,202,02-6905-9500,서울특별시 구로구 디지털로32길 72 (구로동),https://www.marriott.com/en-us/hotels/selfu-four-points-by-sheraton-seoul-guro/overview,https://www.marriott.com/en-us/hotels/selfu-four-points-by-sheraton-seoul-guro/overview
수도권,서울특별시,마포구,(주)서울가든,관광호텔업,4성,372,02-710-7111,서울특별시 마포구 마포대로 58 (도화동),https://www.seoulgarden.co.kr,https://www.seoulgarden.co.kr
수도권,서울특별시,마포구,L7 홍대 바이 롯데,관광호텔업,4성,340,02-2289-1000,서울특별시 마포구 양화로 141 (동교동),https://www.lottehotel.com/hongdae-l7/ko.html,https://www.lottehotel.com/hongdae-l7/ko.html
수도권,서울특별시,마포구,글래드 마포,관광호텔업,4성,378,02-2197-5000,서울특별시 마포구 마포대로 92 (도화동),https://gladmapo-hotels.com/,https://gladmapo-hotels.com/
수도권,서울특별시,마포구,라이즈 오토그래프 컬렉션 바이 메리어트,관광호텔업,4성,272,02-330-7700,서울특별시 마포구 양화로 130 (서교동),http://www.rysehotel.com,http://www.rysehotel.com
수도권,서울특별시,마포구,머큐어 앰배서더 서울 홍대,관광호텔업,4성,270,02-3774-1101,서울특별시 마포구 양화로 144 지하 3층 (동교동),https://www.ambatel.com/mercure/hongdae/ko/main.do,https://www.ambatel.com/mercure/hongdae/ko/main.do
수도권,서울특별시,마포구,스탠포드호텔서울,관광호텔업,4성,239,02-6016-0001,서울특별시 마포구 월드컵북로58길 15 (상암동),http://www.stanfordseoul.com/,http://www.stanfordseoul.com/
수도권,서울특별시,마포구,아만티 호텔 서울,관광호텔업,4성,150,02-334-3111,서울특별시 마포구 월드컵북로 31,http://www.hotelamanti.com,http://www.hotelamanti.com
수도권,서울특별시,서대문구,스위스그랜드호텔서울,관광호텔업,4성,396,02-3216-5656,서울특별시 서대문구 연희로 353 (홍은동),http://www.swissgrand.co.kr,http://www.swissgrand.co.kr
수도권,서울특별시,서초구,더케이호텔서울,관광호텔업,4성,252,02-571-8100,서울특별시 서초구 바우뫼로12길 70 (양재동),https://www.thek-hotel.co.kr/skmh/index.do,https://www.thek-hotel.co.kr/skmh/index.do
수도권,서울특별시,서초구,신라스테이 서초,관광호텔업,4성,305,02-2219-9000,서울특별시 서초구 효령로 427 (서초동),https://www.shillastay.com/seocho/index.do,https://www.shillastay.com/seocho/index.do
수도권,서울특별시,서초구,오라카이 청계산 호텔,관광호텔업,4성,193,02-6200-7300,서울특별시 서초구 청계산로9길 1-7 (신원동),https://cgs.orakaihotels.com/kr/default.asp,https://cgs.orakaihotels.com/kr/default.asp
수도권,서울특별시,서초구,힐튼 가든 인 서울 강남,관광호텔업,4성,208,02-580-8500,서울특별시 서초구 강남대로 253 (서초동),https://hiltongardeninn.hilton.co.kr,https://hiltongardeninn.hilton.co.kr
수도권,서울특별시,영등포구,글래드 여의도,관광호텔업,4성,319,02-6222-5000,서울특별시 영등포구 의사당대로 16 글래드호텔 여의도 (여의도동),https://www.gladyeouido-hotels.com,https://www.gladyeouido-hotels.com
수도권,서울특별시,영등포구,켄싱턴호텔 여의도,관광호텔업,4성,201,02-6670-7000,서울특별시 영등포구 국회대로76길 16 (여의도동),https://www.kensington.co.kr/hyd,https://www.kensington.co.kr/hyd
수도권,서울특별시,영등포구,코트야드 바이 메리어트 서울 타임스퀘어,관광호텔업,4성,283,02-2638-3000,서울특별시 영등포구 영중로 15 (영등포동4가),https://www.marriott.com/selcy,https://www.marriott.com/selcy
수도권,서울특별시,용산구,나인트리 프리미어 로카우스호텔 서울 용산,관광호텔업,4성,274,02-6923-8000,서울특별시 용산구 한강대로23길 25 (한강로3가),http://www.rokaushotel.com,http://www.rokaushotel.com
수도권,서울특별시,용산구,이비스 스타일 앰배서더 서울 용산,관광호텔업,4성,591,02-2223-7000,서울특별시 용산구 청파로20길 95 (한강로3가),https://www.seouldragoncity.com/ko/,https://www.seouldragoncity.com/ko/
수도권,서울특별시,용산구,포포인츠 바이 쉐라톤 조선 서울역,관광호텔업,4성,342,02-6070-7000,서울특별시 용산구 한강대로 366 (동자동),https://www.marriott.com/hotels/travel/selfp-four-points-josun-seoul-station/,https://www.marriott.com/hotels/travel/selfp-four-points-josun-seoul-station/
수도권,서울특별시,종로구,나인트리 프리미어 호텔 인사동,관광호텔업,4성,301,02-6917-3099,서울특별시 종로구 인사동길 49 (관훈동),http://www.ninetreehotels.com/nth3/,http://www.ninetreehotels.com/nth3/
수도권,서울특별시,종로구,아미드 호텔 서울,관광호텔업,4성,250,02-731-1000,서울특별시 종로구 인사동5길 38 (관훈동),http://amidhotel.com,http://amidhotel.com
수도권,서울특별시,종로구,오라카이 인사동 스위츠,가족호텔업,4성,213,02-6262-8888,서울특별시 종로구 인사동4길 18 로담코 인사 빌딩 (낙원동),https://www.orakaihotels.com,https://www.orakaihotels.com
수도권,서울특별시,종로구,오라카이대학로호텔,관광호텔업,4성,232,02-6353-7700,서울특별시 종로구 율곡로 180 (원남동),https://dh.orakaihotels.com/kr/default.asp,https://dh.orakaihotels.com/kr/default.asp
수도권,서울특별시,중구,(주)조선호텔앤리조트 레스케이프,관광호텔업,4성,204,02-317-4000,서울특별시 중구 퇴계로 67 레스케이프호텔 (회현동1가),https://www.lescapehotel.com/,https://www.lescapehotel.com/
수도권,서울특별시,중구,L7 명동 바이 롯데,관광호텔업,4성,251,02-6310-1000,서울특별시 중구 퇴계로 137 (충무로2가),http://www.lottehotel.com,http://www.lottehotel.com
수도권,서울특별시,중구,나인트리 프리미어호텔 명동 2,관광호텔업,4성,408,02-6967-0999,서울특별시 중구 마른내로 28 (초동),http://www.ninetreehotel.com/ntm2,http://www.ninetreehotel.com/ntm2
수도권,서울특별시,중구,로얄호텔서울,관광호텔업,4성,310,02-756-1112,서울특별시 중구 명동길 61 (명동1가),http://www.royal.co.kr,http://www.royal.co.kr
수도권,서울특별시,중구,롯데시티호텔 명동,관광호텔업,4성,435,02-6112-1000,서울특별시 중구 삼일대로 362 (장교동),http://www.lottehotel.com,http://www.lottehotel.com
수도권,서울특별시,중구,보코 언 아이에이치지 호텔,관광호텔업,4성,576,02-6923-6700,서울특별시 중구 퇴계로 52 (회현동1가),https://www.ihg.com/voco/hotels/kr/ko/seoul/selvo/hoteldetail,https://www.ihg.com/voco/hotels/kr/ko/seoul/selvo/hoteldetail
수도권,서울특별시,중구,소테츠 호텔즈 더 스프라지르 서울 동대문,관광호텔업,4성,215,02-2198-1212,서울특별시 중구 장충단로 226 (광희동2가),https://sotetsu-hotels.com/ko/splaisir/,https://sotetsu-hotels.com/ko/splaisir/
수도권,서울특별시,중구,소테츠 호텔즈 더 스프라지르 서울 명동,관광호텔업,4성,428,02-772-0900,서울특별시 중구 남대문로5길 15 (북창동),https://sotetsu-hotels.com/ko/splaisir/,https://sotetsu-hotels.com/ko/splaisir/
수도권,서울특별시,중구,알로프트 서울 명동 호텔,관광호텔업,4성,223,02-2084-1000,서울특별시 중구 남대문로 56 (명동2가),https://www.marriott.com/ko/hotels/selmo-aloft-seoul-myeongdong/overview/,https://www.marriott.com/ko/hotels/selmo-aloft-seoul-myeongdong/overview/
수도권,서울특별시,중구,코리아나 호텔,관광호텔업,4성,285,02-2171-7000,서울특별시 중구 세종대로 135 (태평로1가),http://www.koreanahotel.com,http://www.koreanahotel.com
수도권,서울특별시,중구,코트야드 메리어트 서울 남대문,관광호텔업,4성,400,02-2211-8000,서울특별시 중구 남대문로 9 (남대문로4가),https://www.marriott.co.kr/selsn,https://www.marriott.co.kr/selsn
수도권,서울특별시,중구,퍼시픽호텔,관광호텔업,4성,181,02-777-7811,서울특별시 중구 퇴계로20길 2 (남산동2가),http://www.thepacifichotel.co.kr,http://www.thepacifichotel.co.kr
수도권,서울특별시,중구,포 포인츠 바이 쉐라톤 조선 명동,관광호텔업,4성,375,02-6070-7021,서울특별시 중구 삼일대로10길 36 (저동2가),https://www.josunhotel.com/hotel/fpbsmyeongdong.do,https://www.josunhotel.com/hotel/fpbsmyeongdong.do
수도권,서울특별시,중구,프레이저 플레이스 센트럴 서울,가족호텔업,4성,269,02-2098-0510,서울특별시 중구 통일로 78 프레이저 플레이스 센트럴 서울 (순화동),https://fpcs.co.kr/,https://fpcs.co.kr/
수도권,서울특별시,중구,프레이저플레이스남대문,관광호텔업,4성,252,02-2098-0530,서울특별시 중구 세종대로 58 (남대문로4가),http://www.fpns.co.kr/,http://www.fpns.co.kr/
수도권,서울특별시,중구,프레지던트 호텔,관광호텔업,4성,271,02-753-3131,서울특별시 중구 을지로 16 (을지로1가),https://www.hotelpresident.co.kr/main/,https://www.hotelpresident.co.kr/main/
수도권,서울특별시,중구,호텔 PJ,관광호텔업,4성,272,02-2280-7000,서울특별시 중구 마른내로 71 (인현동1가),http://www.hotelpj.co.kr,http://www.hotelpj.co.kr
수도권,서울특별시,중구,호텔 스카이파크 킹스타운 동대문,가족호텔업,4성,406,02-6952-8991,서울특별시 중구 장충단로13길 20 현대시티타워 (을지로6가),http://www.skyparkhotel.com,http://www.skyparkhotel.com
수도권,인천광역시,연수구,오라카이 송도 파크 호텔,관광호텔업,4성,275,032-210-7000,인천광역시 연수구 테크노파크로 151 (송도동),http://www.orakaihotels.com,http://www.orakaihotels.com
수도권,인천광역시,연수구,홀리데이인인천송도호텔,관광호텔업,4성,202,032-250-0000,인천광역시 연수구 인천타워대로 251 (송도동),http://holidayinnincheonsongdo.com,http://holidayinnincheonsongdo.com
수도권,인천광역시,중구,베스트웨스턴 프리미어 인천 에어포트 호텔,관광호텔업,4성,305,032-743-1000,인천광역시 중구 공항로424번길 48-27 (운서동),http://www.airporthotel.co.kr,http://www.airporthotel.co.kr
수도권,인천광역시,중구,이비스 스타일 앰배서더 인천 에어포트,관광호텔업,4성,360,032-310-7200,인천광역시 중구 제2터미널대로 340 (운서동),https://www.ambatel.com/ibisstyles/incheonairport/ko/main.do,https://www.ambatel.com/ibisstyles/incheonairport/ko/main.do
수도권,인천광역시,중구,하버파크 호텔 인천,관광호텔업,4성,213,032-770-9500,인천광역시 중구 제물량로 217 (항동3가),http://www.harborparkhotel.com,http://www.harborparkhotel.com
수도권,경기도,고양시,어반이스트호텔,관광호텔업,3성,99,031-966-8202,경기도 고양시 덕양구 고양대로 1725 (원흥동),http://www.urban-est.co.kr,http://www.urban-est.co.kr
